shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
55.821930,37.630810,153.0,0.00,60,3.5,65,3.7,-0.2,-19.1
55.821790,37.630770,153.0,0.00,59,3.5,65,3.7,-0.2,-22.7
55.821760,37.630750,153.0,0.00,55,3.3,65,3.7,-0.4,-36.7
55.821720,37.630720,153.0,0.00,59,3.5,65,3.7,-0.2,-22.7
55.821700,37.630710,153.0,0.00,61,3.5,65,3.7,-0.2,-15.4
55.821660,37.630700,153.0,0.00,61,3.5,65,3.7,-0.2,-15.4
55.821530,37.630700,153.0,0.00,65,3.7,65,3.7,0.0,0.0
55.821540,37.630120,153.0,0.00,64,3.7,65,3.7,-0.0,-3.9
55.821540,37.630010,153.0,0.00,67,3.8,65,3.7,0.1,8.1
55.821540,37.629790,153.0,0.00,69,3.9,65,3.7,0.2,16.4
55.821540,37.629360,153.0,0.00,70,3.9,65,3.7,0.2,20.6
55.821530,37.629300,153.0,0.00,70,3.9,65,3.7,0.2,20.6
55.821510,37.629260,153.0,0.00,69,3.9,65,3.7,0.2,16.4
55.821480,37.629230,153.0,0.00,66,3.8,65,3.7,0.0,4.0
55.821450,37.629220,153.0,0.00,61,3.5,65,3.7,-0.2,-15.4
55.821410,37.629230,153.0,0.00,58,3.4,65,3.7,-0.3,-26.3
55.821380,37.629260,153.0,0.00,63,3.6,65,3.7,-0.1,-7.8
55.821360,37.629310,153.0,0.00,65,3.7,65,3.7,0.0,0.0
55.821340,37.629360,153.0,0.00,60,3.5,65,3.7,-0.2,-19.1
55.821340,37.629520,153.0,0.00,58,3.4,65,3.7,-0.3,-26.3
55.821330,37.629920,153.0,0.00,60,3.5,65,3.7,-0.2,-19.1
55.821330,37.630010,153.0,0.00,64,3.7,65,3.7,-0.0,-3.9
55.821330,37.630150,153.0,0.00,66,3.8,65,3.7,0.0,4.0
55.821320,37.631190,153.0,0.00,62,3.6,65,3.7,-0.1,-11.6
55.821320,37.631520,150.0,-14.55,61,3.0,70,3.0,0.0,-44.7
55.821320,37.632380,150.0,0.00,60,3.5,65,3.7,-0.2,-19.1
55.821310,37.632920,150.0,0.00,65,3.7,65,3.7,0.0,0.0
55.821300,37.634550,149.0,-0.98,61,3.0,65,3.0,0.0,-15.4
55.821150,37.634860,149.0,0.00,66,3.8,65,3.7,0.0,4.0
55.821130,37.634910,149.0,0.00,61,3.5,65,3.7,-0.2,-15.4
55.821110,37.634970,149.0,0.00,63,3.6,65,3.7,-0.1,-7.8
55.821100,37.635040,149.0,0.00,58,3.4,65,3.7,-0.3,-26.3
55.821090,37.635110,149.0,0.00,53,3.3,65,3.7,-0.5,-43.3
55.821090,37.635210,149.0,0.00,52,3.2,65,3.7,-0.5,-46.5
55.821090,37.635360,149.0,0.00,57,3.4,65,3.7,-0.3,-29.8
55.821090,37.635580,147.0,-14.55,57,3.0,70,3.0,0.0,-59.1
55.821090,37.635740,147.0,0.00,55,3.3,65,3.7,-0.4,-36.7
55.821090,37.636150,147.0,0.00,55,3.3,65,3.7,-0.4,-36.7
55.820110,37.637050,155.0,6.52,58,13.6,60,13.7,-0.1,16.3
55.820000,37.637150,155.0,0.00,53,3.3,65,3.7,-0.5,-43.3
55.819270,37.637830,145.0,-10.92,58,3.0,70,3.0,0.0,-55.6
55.819040,37.638050,145.0,0.00,57,3.4,65,3.7,-0.3,-29.8
55.818930,37.638170,145.0,0.00,17,3.0,63,3.6,-0.6,-112.4
55.818780,37.638300,145.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.818700,37.638380,144.0,-9.80,22,3.0,68,3.0,0.0,-134.9
55.818460,37.638520,144.0,0.00,26,3.0,63,3.6,-0.6,-100.6
55.818390,37.638560,144.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.818300,37.638580,144.0,0.00,31,3.0,63,3.6,-0.6,-91.9
55.818220,37.638590,144.0,0.00,31,3.0,63,3.6,-0.6,-91.9
55.818130,37.638590,144.0,0.00,35,3.0,63,3.6,-0.6,-83.8
55.817940,37.638550,144.0,0.00,33,3.0,63,3.6,-0.6,-88.0
55.817810,37.638520,144.0,0.00,28,3.0,63,3.6,-0.6,-97.3
55.817610,37.638480,144.0,0.00,26,3.0,63,3.6,-0.6,-100.6
55.817230,37.638370,144.0,0.00,24,3.0,63,3.6,-0.6,-103.7
55.816970,37.638330,144.0,0.00,26,3.0,63,3.6,-0.6,-100.6
55.816720,37.638300,144.0,0.00,23,3.0,63,3.6,-0.6,-105.1
55.816450,37.638290,158.0,46.62,27,68.5,58,69.4,-0.9,-42.4
55.815850,37.638360,158.0,0.00,24,3.0,63,3.6,-0.6,-103.7
55.815400,37.638270,158.0,0.00,29,3.0,63,3.6,-0.6,-95.6
55.814120,37.638010,155.0,-2.09,24,3.0,62.5,3.0,0.0,-101.8
55.813950,37.637980,155.0,0.00,24,3.0,63,3.6,-0.6,-103.7
55.813730,37.637930,155.0,0.00,22,3.0,63,3.6,-0.6,-106.5
55.813380,37.637860,155.0,0.00,26,3.0,63,3.6,-0.6,-100.6
55.812830,37.637740,155.0,0.00,23,3.0,63,3.6,-0.6,-105.1
55.812070,37.637560,159.0,4.69,20,9.8,58,10.7,-1.0,-76.9
55.811390,37.637400,168.0,11.80,20,20.8,53,21.5,-0.8,-52.4
55.810920,37.637320,168.0,0.00,25,3.0,58,3.4,-0.4,-102.2
55.810680,37.637300,168.0,0.00,22,3.0,63,3.6,-0.6,-106.5
55.810650,37.637290,168.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.810480,37.637280,168.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.809860,37.637220,162.0,-8.69,23,3.0,68,3.0,0.0,-133.6
55.808980,37.637150,162.0,0.00,24,3.0,63,3.6,-0.6,-103.7
55.808500,37.637090,162.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.807220,37.636850,166.0,2.79,20,6.8,58,7.8,-1.0,-86.4
55.805940,37.636630,162.0,-2.80,20,3.0,63,3.0,0.0,-122.5
55.804930,37.636470,162.0,0.00,0,3.0,63,3.6,-0.6,-121.3
55.804500,37.636400,162.0,0.00,35,3.0,63,3.6,-0.6,-83.8
55.802530,37.636010,167.0,2.27,39,6.4,58,7.0,-0.6,-54.9
55.801050,37.635710,166.0,-0.60,43,3.0,63,3.0,0.0,-64.8
55.800410,37.635560,166.0,0.00,48,3.1,63,3.6,-0.5,-50.9
55.799690,37.635400,160.0,-7.44,52,3.0,68,3.0,0.0,-75.3
55.796080,37.634620,158.0,-0.49,56,3.0,65,3.0,0.0,-33.3
55.794740,37.634340,158.0,0.00,56,3.4,65,3.7,-0.4,-33.3
55.794620,37.634310,158.0,0.00,59,3.5,65,3.7,-0.2,-22.7
55.794300,37.634280,158.0,0.00,54,3.3,65,3.7,-0.4,-40.0
55.793990,37.634300,158.0,0.00,21,3.0,63,3.6,-0.6,-107.8
55.793310,37.634350,158.0,0.00,25,3.0,63,3.6,-0.6,-102.2
55.792980,37.634370,158.0,0.00,26,3.0,63,3.6,-0.6,-100.6
55.792490,37.634430,158.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.792050,37.634480,158.0,0.00,33,3.0,63,3.6,-0.6,-88.0
55.791410,37.634550,168.0,14.03,28,24.3,58,25.1,-0.8,-40.7
55.791010,37.634600,168.0,0.00,29,3.0,63,3.6,-0.6,-95.6
55.790860,37.634610,168.0,0.00,2,3.0,63,3.6,-0.6,-121.2
55.790130,37.634640,168.0,0.00,32,3.0,63,3.6,-0.6,-90.0
55.789980,37.634650,168.0,0.00,27,3.0,63,3.6,-0.6,-99.0
55.789600,37.634650,168.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.789530,37.634650,165.0,-38.54,29,3.0,68,3.0,0.0,-137.1
55.789170,37.634630,165.0,0.00,31,3.0,63,3.6,-0.6,-91.9
55.788790,37.634630,165.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.788640,37.634630,165.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.788200,37.634660,165.0,0.00,31,3.0,63,3.6,-0.6,-91.9
55.788040,37.634670,165.0,0.00,35,3.0,63,3.6,-0.6,-83.8
55.787590,37.634720,165.0,0.00,32,3.0,63,3.6,-0.6,-90.0
55.787030,37.634780,165.0,0.00,34,3.0,63,3.6,-0.6,-86.0
55.786880,37.634810,165.0,0.00,29,3.0,63,3.6,-0.6,-95.6
55.786410,37.634850,165.0,0.00,0,3.0,63,3.6,-0.6,-121.3
55.786220,37.634860,165.0,0.00,37,3.0,63,3.6,-0.6,-79.4
55.785810,37.634870,165.0,0.00,41,3.0,63,3.6,-0.6,-69.9
55.785500,37.634870,165.0,0.00,44,3.0,63,3.6,-0.6,-62.1
55.784830,37.634860,164.0,-1.34,43,3.0,64.6,3.0,0.0,-71.0
55.784610,37.634840,164.0,0.00,42,3.0,63,3.6,-0.6,-67.4
55.784320,37.634770,164.0,0.00,41,3.0,63,3.6,-0.6,-69.9
55.784170,37.634730,164.0,0.00,40,3.0,63,3.6,-0.6,-72.4
55.784030,37.634680,164.0,0.00,35,3.0,63,3.6,-0.6,-83.8
55.783840,37.634600,164.0,0.00,35,3.0,63,3.6,-0.6,-83.8
55.783750,37.634560,164.0,0.00,39,3.0,63,3.6,-0.6,-74.8
55.783650,37.634520,164.0,0.00,39,3.0,63,3.6,-0.6,-74.8
55.783510,37.634460,164.0,0.00,41,3.0,63,3.6,-0.6,-69.9
55.783120,37.634270,164.0,0.00,36,3.0,63,3.6,-0.6,-81.7
55.782780,37.634120,164.0,0.00,35,3.0,63,3.6,-0.6,-83.8
55.782250,37.633880,164.0,0.00,36,3.0,63,3.6,-0.6,-81.7
55.781690,37.633630,164.0,0.00,39,3.0,63,3.6,-0.6,-74.8
55.781640,37.633610,164.0,0.00,43,3.0,63,3.6,-0.6,-64.8
55.781440,37.633520,164.0,0.00,40,3.0,63,3.6,-0.6,-72.4
55.780570,37.633160,163.0,-1.01,37,3.0,64.2,3.0,0.0,-84.1
55.780550,37.633150,163.0,0.00,17,3.0,63,3.6,-0.6,-112.4
55.780530,37.633140,163.0,0.00,0,3.0,63,3.6,-0.6,-121.3
55.780510,37.633130,163.0,0.00,44,3.0,63,3.6,-0.6,-62.1
55.780500,37.633130,163.0,0.00,3,3.0,63,3.6,-0.6,-121.0
55.780270,37.633050,163.0,0.00,46,3.0,63,3.6,-0.6,-56.6
55.780060,37.632990,163.0,0.00,50,3.2,65,3.7,-0.6,-52.7
55.779580,37.632860,163.0,0.00,53,3.3,65,3.7,-0.5,-43.3
55.779310,37.632790,163.0,0.00,56,3.4,65,3.7,-0.4,-33.3
55.778370,37.632560,163.0,0.00,28,3.0,63,3.6,-0.6,-97.3
55.778100,37.632490,163.0,0.00,33,3.0,63,3.6,-0.6,-88.0
55.777840,37.632440,163.0,0.00,29,3.0,63,3.6,-0.6,-95.6
55.777710,37.632420,163.0,0.00,26,3.0,63,3.6,-0.6,-100.6
55.777490,37.632400,163.0,0.00,24,3.0,63,3.6,-0.6,-103.7
55.777360,37.632380,163.0,0.00,28,3.0,63,3.6,-0.6,-97.3
55.777260,37.632370,163.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.776810,37.632310,163.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.776640,37.632290,163.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.776260,37.632250,163.0,0.00,29,3.0,63,3.6,-0.6,-95.6
55.775900,37.632210,163.0,0.00,31,3.0,63,3.6,-0.6,-91.9
55.775780,37.632200,163.0,0.00,26,3.0,63,3.6,-0.6,-100.6
55.775630,37.632200,163.0,0.00,31,3.0,63,3.6,-0.6,-91.9
55.774700,37.632220,161.0,-1.93,30,3.0,65.3,3.0,0.0,-102.8
55.774630,37.632220,161.0,0.00,34,3.0,63,3.6,-0.6,-86.0
55.774410,37.632240,161.0,0.00,38,3.0,63,3.6,-0.6,-77.2
55.774240,37.632250,161.0,0.00,40,3.0,63,3.6,-0.6,-72.4
55.773930,37.632270,161.0,0.00,44,3.0,63,3.6,-0.6,-62.1
55.773150,37.632290,161.0,0.00,42,3.0,63,3.6,-0.6,-67.4
55.773080,37.632300,161.0,0.00,6,3.0,63,3.6,-0.6,-120.2
55.772960,37.632300,161.0,0.00,31,3.0,63,3.6,-0.6,-91.9
55.772850,37.632300,157.0,-32.70,33,3.0,68,3.0,0.0,-129.6
55.772890,37.632050,157.0,0.00,28,3.0,63,3.6,-0.6,-97.3
55.772900,37.631950,157.0,0.00,24,3.0,63,3.6,-0.6,-103.7
55.772940,37.631650,161.0,20.74,29,34.3,58,35.1,-0.8,-44.7
55.773010,37.631110,163.0,5.77,25,11.5,54.3,12.3,-0.8,-71.0
55.773100,37.630490,163.0,0.00,28,3.0,59.3,3.5,-0.5,-97.3
55.773130,37.630280,163.0,0.00,28,3.0,63,3.6,-0.6,-97.3
55.773250,37.629450,163.0,0.00,27,3.0,63,3.6,-0.6,-99.0
55.773360,37.628720,158.0,-10.58,29,3.0,68,3.0,0.0,-137.1
55.773460,37.627870,158.0,0.00,24,3.0,63,3.6,-0.6,-103.7
55.773540,37.627370,158.0,0.00,27,3.0,63,3.6,-0.6,-99.0
55.773590,37.627020,153.0,-22.14,28,3.0,68,3.0,0.0,-138.9
55.773670,37.626410,153.0,0.00,28,3.0,63,3.6,-0.6,-97.3
55.773720,37.626050,153.0,0.00,28,3.0,63,3.6,-0.6,-97.3
55.773780,37.625270,153.0,0.00,30,3.0,63,3.6,-0.6,-93.8
55.773800,37.624920,149.0,-18.18,25,3.0,68,3.0,0.0,-143.7
55.773820,37.624610,149.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.773850,37.623710,149.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.773850,37.623610,149.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.773860,37.623100,149.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.773860,37.622590,146.0,-9.41,21,3.0,68,3.0,0.0,-149.4
55.773870,37.622220,146.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.773870,37.621730,146.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.773870,37.621510,146.0,0.00,20,3.0,63,3.6,-0.6,-109.1
55.773860,37.620530,146.0,0.00,22,3.0,63,3.6,-0.6,-106.5
