shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
55.739970,37.624620,131.0,0.00,33,9.2,63,8.5,0.7,-88.0
55.739910,37.624600,131.0,0.00,3,11.9,63,8.5,3.4,-121.0
55.739800,37.624580,131.0,0.00,37,8.9,63,8.5,0.5,-79.4
55.739750,37.624580,131.0,0.00,38,8.9,63,8.5,0.4,-77.2
55.739650,37.624570,131.0,0.00,33,9.1,63,8.5,0.7,-88.0
55.739490,37.624550,132.0,5.61,30,10.8,58,10.2,0.6,-57.0
55.739400,37.624540,132.0,0.00,30,9.3,63,8.5,0.9,-93.8
55.739280,37.624530,132.0,0.00,30,9.3,63,8.4,0.9,-93.8
55.739140,37.624520,132.0,0.00,29,9.4,63,8.4,0.9,-95.6
55.739120,37.624510,132.0,0.00,28,9.5,63,8.4,1.0,-97.3
55.738920,37.624500,132.0,0.00,24,9.8,63,8.4,1.4,-103.7
55.738510,37.624460,132.0,0.00,0,12.2,63,8.4,3.8,-121.3
55.738360,37.624450,132.0,0.00,42,8.8,63,8.4,0.3,-67.4
55.738220,37.624440,132.0,0.00,45,8.7,63,8.4,0.2,-59.4
55.738010,37.624420,132.0,0.00,44,8.7,63,8.4,0.3,-62.1
55.737560,37.624390,132.0,0.00,45,8.7,63,8.4,0.2,-59.4
55.737510,37.624380,132.0,0.00,44,8.7,63,8.4,0.3,-62.1
55.737330,37.624370,130.0,-9.99,47,12.8,68,12.8,0.0,-95.3
55.737220,37.624360,130.0,0.00,42,8.7,63,8.4,0.3,-67.4
55.736850,37.624330,130.0,0.00,37,8.9,63,8.4,0.5,-79.4
55.736770,37.624330,130.0,0.00,42,8.7,63,8.4,0.3,-67.4
55.736690,37.624320,130.0,0.00,14,10.8,63,8.4,2.4,-115.3
55.736590,37.624320,130.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.736530,37.624310,130.0,0.00,0,12.2,63,8.4,3.8,-121.3
55.736460,37.624310,130.0,0.00,41,8.7,63,8.4,0.4,-69.9
55.736380,37.624310,130.0,0.00,43,8.7,63,8.4,0.3,-64.8
55.736150,37.624320,130.0,0.00,48,8.5,63,8.4,0.2,-50.9
55.736140,37.624320,130.0,0.00,53,8.4,65,8.4,0.0,-43.3
55.735920,37.624320,130.0,0.00,56,8.4,65,8.4,-0.0,-33.3
55.735860,37.624320,130.0,0.00,18,10.4,63,8.3,2.1,-111.4
55.735440,37.624330,130.0,0.00,20,10.2,63,8.3,1.9,-109.1
55.735080,37.624330,133.0,7.49,24,12.3,58,11.3,1.0,-64.4
55.735010,37.624330,133.0,0.00,28,9.4,63,8.4,1.1,-97.3
55.734650,37.624340,133.0,0.00,32,9.1,63,8.4,0.7,-90.0
55.734500,37.624340,133.0,0.00,27,9.5,63,8.4,1.2,-99.0
55.734420,37.624340,133.0,0.00,30,9.2,63,8.4,0.9,-93.8
55.734260,37.624340,133.0,0.00,33,9.0,63,8.4,0.7,-88.0
55.734210,37.624340,133.0,0.00,37,8.8,63,8.4,0.4,-79.4
55.733820,37.624330,133.0,0.00,34,9.0,63,8.4,0.6,-86.0
55.733740,37.624330,133.0,0.00,34,9.0,63,8.3,0.6,-86.0
55.733620,37.624320,133.0,0.00,33,9.0,63,8.3,0.7,-88.0
55.733470,37.624310,133.0,0.00,16,10.6,63,8.3,2.3,-113.5
55.733330,37.624310,134.0,6.42,20,11.7,58,10.6,1.2,-74.9
55.733220,37.624300,134.0,0.00,24,9.8,63,8.3,1.5,-103.7
55.733170,37.624300,134.0,0.00,21,10.1,63,8.3,1.8,-107.8
55.732880,37.624290,134.0,0.00,23,9.9,63,8.3,1.6,-105.1
55.732870,37.624290,134.0,0.00,20,10.2,63,8.3,1.9,-109.1
55.732750,37.624290,134.0,0.00,0,12.2,63,8.3,3.9,-121.3
55.732680,37.624280,134.0,0.00,46,8.5,63,8.3,0.2,-56.6
55.732650,37.624280,134.0,0.00,47,8.5,63,8.3,0.1,-53.8
55.732430,37.624270,134.0,0.00,47,8.5,63,8.3,0.1,-53.8
55.732400,37.624270,134.0,0.00,43,8.6,63,8.3,0.2,-64.8
55.732170,37.624260,134.0,0.00,42,8.6,63,8.3,0.3,-67.4
55.732050,37.624250,134.0,0.00,37,8.7,63,8.3,0.4,-79.4
55.731880,37.624240,134.0,0.00,42,8.6,63,8.3,0.2,-67.4
55.731820,37.624230,134.0,0.00,42,8.6,63,8.3,0.2,-67.4
55.731710,37.624220,134.0,0.00,42,8.6,63,8.3,0.2,-67.4
55.731650,37.624210,134.0,0.00,38,8.7,63,8.3,0.3,-77.2
55.731370,37.624160,134.0,0.00,34,8.9,63,8.3,0.6,-86.0
55.731210,37.624120,135.0,5.57,29,10.8,58,10.0,0.8,-65.7
55.731090,37.624100,135.0,0.00,27,9.5,63,8.3,1.2,-99.0
55.730920,37.624070,135.0,0.00,27,9.5,63,8.3,1.2,-99.0
55.730830,37.624050,135.0,0.00,31,9.1,63,8.3,0.8,-91.9
55.730350,37.623960,135.0,0.00,26,9.6,63,8.3,1.3,-100.6
55.730340,37.623960,135.0,0.00,22,10.0,63,8.3,1.7,-106.5
55.730270,37.623950,135.0,0.00,23,9.9,63,8.3,1.6,-105.1
55.730190,37.623940,135.0,0.00,20,10.2,63,8.3,1.9,-109.1
55.729910,37.623840,135.0,0.00,20,10.2,63,8.3,1.9,-109.1
55.729730,37.623760,135.0,0.00,20,10.2,63,8.3,1.9,-109.1
55.729600,37.623700,135.0,0.00,23,9.9,63,8.3,1.6,-105.1
55.729400,37.623570,135.0,0.00,20,10.2,63,8.3,1.9,-109.1
55.729110,37.623500,133.0,-6.15,0,13.1,68,10.4,2.6,-151.4
55.728940,37.623460,133.0,0.00,46,8.4,63,8.3,0.1,-56.6
55.728850,37.623440,133.0,0.00,45,8.5,63,8.3,0.1,-59.4
55.728780,37.623430,133.0,0.00,45,8.4,63,8.3,0.1,-59.4
55.728470,37.623380,133.0,0.00,47,8.4,63,8.3,0.1,-53.8
55.728450,37.623380,133.0,0.00,43,8.5,63,8.3,0.2,-64.8
55.728150,37.623330,133.0,0.00,41,8.5,63,8.3,0.2,-69.9
55.727840,37.623280,133.0,0.00,46,8.4,63,8.3,0.1,-56.6
55.727840,37.623110,133.0,0.00,47,8.4,63,8.3,0.0,-53.8
55.727810,37.622730,136.0,12.49,47,14.7,58,14.7,-0.0,-8.9
55.727770,37.622120,136.0,0.00,26,9.6,63,8.3,1.3,-100.6
55.727760,37.621920,136.0,0.00,30,9.2,63,8.3,0.9,-93.8
55.727750,37.621720,136.0,0.00,29,9.3,63,8.3,1.0,-95.6
55.727720,37.621320,136.0,0.00,31,9.1,63,8.3,0.8,-91.9
55.727710,37.621160,136.0,0.00,26,9.6,63,8.3,1.3,-100.6
55.727690,37.620750,138.0,7.76,24,12.4,58,11.4,1.1,-63.1
55.727680,37.620680,138.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.727670,37.620430,138.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.727640,37.620020,138.0,0.00,27,9.5,63,8.4,1.1,-99.0
55.727640,37.619890,138.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.727500,37.619910,138.0,0.00,28,9.4,63,8.4,1.0,-97.3
55.727400,37.619920,138.0,0.00,24,9.8,63,8.4,1.4,-103.7
55.727310,37.619940,138.0,0.00,27,9.5,63,8.4,1.1,-99.0
55.727300,37.619750,138.0,0.00,27,9.5,63,8.4,1.1,-99.0
55.727270,37.619420,138.0,0.00,29,9.3,63,8.4,1.0,-95.6
55.727260,37.619230,138.0,0.00,26,9.6,63,8.4,1.2,-100.6
55.727230,37.618850,138.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.727170,37.618090,142.0,8.32,30,12.5,58,11.7,0.8,-50.4
55.727160,37.617950,142.0,0.00,28,9.4,63,8.4,1.0,-97.3
55.727140,37.617600,142.0,0.00,27,9.5,63,8.4,1.1,-99.0
55.727110,37.617310,142.0,0.00,22,10.0,63,8.4,1.6,-106.5
55.727020,37.616050,140.0,-2.51,23,10.2,66.0,8.8,1.4,-116.9
55.726960,37.615300,140.0,0.00,24,9.8,63,8.4,1.4,-103.7
55.726940,37.615080,140.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.727260,37.614930,140.0,0.00,24,9.8,63,8.4,1.4,-103.7
55.727310,37.614900,140.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.727410,37.614850,140.0,0.00,24,9.8,63,8.4,1.4,-103.7
55.727540,37.614780,140.0,0.00,29,9.3,63,8.4,0.9,-95.6
55.727560,37.614710,140.0,0.00,28,9.4,63,8.4,1.0,-97.3
55.727570,37.614630,140.0,0.00,5,11.7,63,8.4,3.4,-120.5
55.727580,37.614480,137.0,-31.72,35,28.6,68,29.4,-0.8,-125.4
55.727580,37.614430,137.0,0.00,40,8.5,63,8.4,0.1,-72.4
55.727600,37.613210,137.0,0.00,45,8.4,63,8.4,0.0,-59.4
55.727630,37.611980,139.0,2.59,44,8.8,59.1,8.8,0.0,-47.6
55.727630,37.611790,139.0,0.00,45,8.4,63,8.4,0.0,-59.4
55.727630,37.611620,139.0,0.00,44,8.4,63,8.4,0.0,-62.1
55.727640,37.611450,139.0,0.00,39,8.6,63,8.4,0.1,-74.8
55.727640,37.610930,139.0,0.00,40,8.5,63,8.4,0.1,-72.4
55.727650,37.610430,139.0,0.00,43,8.4,63,8.4,0.0,-64.8
55.727660,37.610140,139.0,0.00,39,8.5,63,8.4,0.1,-74.8
55.727660,37.610030,139.0,0.00,15,10.7,63,8.4,2.3,-114.4
55.727660,37.609980,139.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.727650,37.609820,139.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.727640,37.609700,139.0,0.00,20,10.2,63,8.4,1.8,-109.1
55.727630,37.609610,139.0,0.00,23,9.9,63,8.4,1.5,-105.1
55.727610,37.609550,139.0,0.00,24,9.8,63,8.4,1.4,-103.7
55.727570,37.609460,139.0,0.00,26,9.6,63,8.4,1.2,-100.6
55.727440,37.609250,139.0,0.00,29,9.3,63,8.4,0.9,-95.6
55.727210,37.608880,139.0,0.00,30,9.2,63,8.4,0.8,-93.8
55.727090,37.608690,139.0,0.00,28,9.4,63,8.4,1.0,-97.3
55.726570,37.607920,145.0,7.97,25,12.5,58,11.5,1.1,-60.4
55.725410,37.606160,146.0,0.59,30,9.2,63,8.5,0.7,-93.8
55.725210,37.605870,146.0,0.00,25,9.7,63,8.4,1.3,-102.2
55.725050,37.605640,146.0,0.00,26,9.6,63,8.4,1.2,-100.6
55.724970,37.605530,142.0,-35.55,21,31.3,68,32.3,-1.1,-149.4
55.724900,37.605420,142.0,0.00,23,9.9,63,8.4,1.4,-105.1
55.724230,37.604440,142.0,0.00,0,12.3,63,8.4,3.9,-121.3
55.724040,37.604170,142.0,0.00,30,9.3,63,8.4,0.8,-93.8
55.722730,37.602270,148.0,3.19,28,9.9,58.2,9.0,1.0,-79.5
55.721640,37.600640,144.0,-2.52,32,9.6,63.2,8.8,0.8,-101.8
55.721030,37.599720,140.0,-4.49,28,10.5,68.2,9.5,1.0,-119.0
55.720860,37.599470,140.0,0.00,23,9.9,63.2,8.5,1.4,-105.1
55.720160,37.598450,144.0,3.97,20,10.8,58.2,9.3,1.5,-87.1
55.720060,37.598310,144.0,0.00,20,10.2,63,8.5,1.7,-109.1
55.719900,37.598070,144.0,0.00,23,9.9,63,8.5,1.4,-105.1
55.719110,37.596930,145.0,0.88,20,10.2,63,8.6,1.6,-109.1
55.719010,37.596780,145.0,0.00,24,9.8,63,8.5,1.3,-103.7
55.718900,37.596620,145.0,0.00,20,10.2,63,8.5,1.7,-109.1
55.717940,37.595220,149.0,2.90,24,10.2,58.7,8.9,1.2,-87.7
55.717120,37.594020,149.0,0.00,21,10.1,63,8.5,1.6,-107.8
55.717060,37.593940,149.0,0.00,22,10.0,63,8.5,1.5,-106.5
55.716780,37.593560,149.0,0.00,23,9.9,63,8.5,1.4,-105.1
55.716300,37.592910,153.0,5.96,27,11.2,58,10.2,1.0,-67.2
55.716010,37.592510,153.0,0.00,26,9.7,63,8.5,1.2,-100.6
55.715630,37.591980,153.0,0.00,3,12.1,63,8.5,3.6,-121.0
55.714950,37.591030,153.0,0.00,36,8.9,63,8.5,0.4,-81.7
55.714660,37.590630,153.0,0.00,34,9.0,63,8.5,0.5,-86.0
55.714540,37.590460,157.0,23.43,29,23.1,58,22.5,0.6,-44.7
55.714440,37.590320,157.0,0.00,29,9.4,63,8.5,0.9,-95.6
55.714280,37.590100,157.0,0.00,24,9.8,63,8.5,1.4,-103.7
55.714100,37.589870,157.0,0.00,22,10.0,63,8.5,1.5,-106.5
55.713720,37.589370,155.0,-3.80,20,11.0,67.6,9.3,1.7,-127.4
55.713070,37.588500,155.0,0.00,20,10.2,63,8.5,1.7,-109.1
55.711440,37.586360,152.0,-1.33,20,10.4,64.6,8.6,1.7,-115.3
55.710580,37.585160,151.0,-0.82,20,10.3,63,8.6,1.7,-109.1
55.710290,37.584600,145.0,-12.59,21,14.8,68,14.9,-0.1,-149.4
55.710170,37.584360,145.0,0.00,22,10.0,63,8.5,1.5,-106.5
55.709970,37.583730,145.0,0.00,20,10.2,63,8.5,1.7,-109.1
55.709870,37.583480,145.0,0.00,21,10.1,63,8.5,1.6,-107.8
55.709790,37.583270,146.0,6.30,24,11.7,58,10.5,1.2,-70.2
55.709670,37.583040,146.0,0.00,24,9.8,63,8.5,1.3,-103.7
55.709500,37.582720,146.0,0.00,24,9.8,63,8.5,1.3,-103.7
55.709190,37.582210,146.0,0.00,1,12.3,63,8.5,3.8,-121.2
55.709030,37.581960,146.0,0.00,38,8.8,63,8.5,0.3,-77.2
55.708850,37.581690,146.0,0.00,36,8.9,63,8.5,0.4,-81.7
55.708770,37.581560,146.0,0.00,36,8.9,63,8.5,0.4,-81.7
55.708660,37.581330,146.0,0.00,36,8.9,63,8.5,0.4,-81.7
55.708530,37.581020,152.0,24.78,32,24.0,58,23.5,0.5,-45.1
55.708490,37.580880,152.0,0.00,27,9.6,63,8.5,1.1,-99.0
55.708450,37.580730,152.0,0.00,24,9.9,63,8.5,1.3,-103.7
55.708420,37.580650,152.0,0.00,26,9.7,63,8.6,1.2,-100.6
55.708420,37.580610,152.0,0.00,24,9.9,63,8.6,1.3,-103.7
55.708400,37.580510,152.0,0.00,22,10.1,63,8.6,1.5,-106.5
55.708390,37.580390,152.0,0.00,25,9.8,63,8.6,1.3,-102.2
55.708370,37.579950,152.0,0.00,27,9.7,63,8.6,1.1,-99.0
55.708350,37.579340,152.0,0.00,29,9.5,63,8.6,0.9,-95.6
55.708340,37.578850,159.0,22.79,29,22.5,58,21.9,0.6,-50.7
55.708330,37.578700,154.0,-52.84,29,44.5,63,45.1,-0.6,-137.1
55.708320,37.578600,154.0,0.00,30,9.5,63,8.6,0.9,-93.8
55.708210,37.577570,154.0,0.00,25,9.9,63,8.6,1.3,-102.2
55.708130,37.576820,157.0,6.27,2,13.1,58,10.5,2.7,-94.3
55.708130,37.576740,157.0,0.00,36,9.1,63,8.6,0.5,-81.7
55.708120,37.576640,157.0,0.00,36,9.1,63,8.6,0.5,-81.7
55.708090,37.576360,157.0,0.00,41,8.8,63,8.6,0.2,-69.9
55.708060,37.576050,157.0,0.00,43,8.7,63,8.6,0.1,-64.8
55.708050,37.575980,157.0,0.00,48,8.7,63,8.6,0.1,-50.9
55.707900,37.574320,157.0,0.00,45,8.7,63,8.6,0.1,-59.4
55.707880,37.574120,157.0,0.00,40,8.8,63,8.6,0.2,-72.4
55.707840,37.573660,157.0,0.00,39,8.9,63,8.6,0.3,-74.8
55.707560,37.570870,159.0,1.13,39,8.9,63.3,8.7,0.2,-76.0
55.707370,37.569090,161.0,1.76,35,9.3,62.4,8.9,0.4,-81.5
55.707280,37.568320,161.0,0.00,36,9.1,63,8.7,0.5,-81.7
55.707240,37.568010,161.0,0.00,31,9.5,63,8.7,0.8,-91.9
