shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
55.942990,37.447470,194.0,-2.81,24,10.2,63.4,9.1,1.1,-105.2
55.943560,37.446880,194.0,0.00,0,12.2,63,8.2,3.9,-121.3
55.943950,37.446440,193.0,-1.95,43,8.9,62.3,8.8,0.2,-62.1
55.944470,37.445770,191.0,-2.80,48,9.0,63.4,9.1,-0.1,-52.4
55.944910,37.445130,191.0,0.00,47,8.7,63,8.3,0.5,-53.8
55.945700,37.443870,191.0,0.00,49,8.7,63,8.3,0.4,-47.9
55.948660,37.439000,192.0,0.22,51,8.6,65,8.2,0.4,-49.6
55.952250,37.433070,174.0,-3.31,51,9.2,66.0,9.5,-0.3,-53.6
55.952860,37.432080,174.0,0.00,47,8.7,63,8.4,0.3,-53.8
55.952920,37.431990,174.0,0.00,46,8.7,63,8.4,0.4,-56.6
55.953420,37.431100,167.0,-8.92,42,12.3,68,12.2,0.2,-95.8
55.953890,37.430220,167.0,0.00,37,9.0,63,8.4,0.6,-79.4
55.954340,37.429230,169.0,2.52,38,9.2,58,8.7,0.5,-55.9
55.954610,37.428540,174.0,9.54,38,13.1,53,12.8,0.2,-28.3
55.954770,37.428110,174.0,0.00,41,8.9,58,8.5,0.4,-69.9
55.955010,37.427460,174.0,0.00,44,8.8,63,8.4,0.4,-62.1
55.955420,37.426060,175.0,1.02,43,8.9,59.5,8.3,0.5,-51.7
55.955730,37.424790,172.0,-3.48,39,9.4,64.2,9.5,-0.0,-79.5
55.955980,37.423590,172.0,0.00,34,9.1,63,8.4,0.8,-86.0
55.956170,37.422550,168.0,-5.87,29,11.0,67.0,10.4,0.5,-111.5
55.956910,37.418370,188.0,7.33,29,11.9,62.0,11.3,0.6,-50.7
55.957490,37.414930,181.0,-3.13,33,9.6,63.8,9.4,0.3,-91.1
55.957720,37.413620,172.0,-10.53,31,13.5,68.8,13.3,0.1,-120.4
55.958250,37.410570,180.0,4.02,27,10.3,63.8,9.2,1.1,-70.2
55.958300,37.410290,184.0,21.86,32,22.4,58.8,22.0,0.4,-33.4
55.959200,37.405110,184.0,0.00,27,9.5,63,8.3,1.2,-99.0
55.959420,37.403680,183.0,-1.08,29,9.5,61.3,8.6,0.9,-89.1
55.959580,37.402490,183.0,0.00,31,9.3,63,8.3,1.0,-91.9
55.959690,37.401180,183.0,0.00,33,9.2,63,8.3,0.9,-88.0
55.959730,37.400060,183.0,0.00,28,9.5,63,8.3,1.2,-97.3
55.959720,37.399090,185.0,3.31,23,10.4,58,9.0,1.4,-79.7
55.959650,37.398040,185.0,0.00,23,9.9,63,8.3,1.6,-105.1
55.959550,37.397040,186.0,1.58,25,9.9,58.6,8.3,1.5,-85.8
55.959430,37.396250,186.0,0.00,0,12.2,63,8.3,3.9,-121.3
55.959220,37.395150,189.0,4.15,37,9.8,58,9.3,0.5,-49.9
55.959090,37.394580,189.0,0.00,38,8.9,63,8.3,0.7,-77.2
55.958840,37.393720,186.0,-4.97,37,10.2,66.0,10.1,0.2,-91.3
55.958460,37.392630,186.0,0.00,38,8.9,63,8.3,0.7,-77.2
55.958090,37.391740,182.0,-5.80,43,10.6,67.0,10.4,0.2,-80.7
55.957680,37.390910,189.0,10.16,48,13.2,62.0,13.4,-0.1,0.0
55.956770,37.389410,184.0,-3.63,46,9.3,64.4,9.5,-0.2,-62.1
